max_depth	min_split	ganancia_promedio
4	10	46904000
4	10	46904000
4	10	46904000
4	10	46904000
4	10	46904000
6	1000	48660000
6	1000	48660000
6	1000	48660000
6	1000	48660000
6	1000	48660000
6	800	48660000
6	800	48660000
6	800	48660000
6	800	48660000
6	800	48660000
6	600	48808000
6	600	48808000
6	600	48808000
6	600	48808000
6	600	48808000
6	400	48580000
6	400	48580000
6	400	48580000
6	400	48580000
6	400	48580000
6	200	47992000
6	200	47992000
6	200	47992000
6	200	47992000
6	200	47992000
6	100	48132000
6	100	48132000
6	100	48132000
6	100	48132000
6	100	48132000
6	50	47938000
6	50	47938000
6	50	47938000
6	50	47938000
6	50	47938000
6	20	47640000
6	20	47640000
6	20	47640000
6	20	47640000
6	20	47640000
6	10	47564000
6	10	47564000
6	10	47564000
6	10	47564000
6	10	47564000
8	1000	48376000
8	1000	48376000
8	1000	48376000
8	1000	48376000
8	1000	48376000
8	800	48382000
8	800	48382000
8	800	48382000
8	800	48382000
8	800	48382000
8	600	48110000
8	600	48110000
8	600	48110000
8	600	48110000
8	600	48110000
8	400	47898000
8	400	47898000
8	400	47898000
8	400	47898000
8	400	47898000
8	200	46622000
8	200	46622000
8	200	46622000
8	200	46622000
8	200	46622000
8	100	46216000
8	100	46216000
8	100	46216000
8	100	46216000
8	100	46216000
8	50	45506000
8	50	45506000
8	50	45506000
8	50	45506000
8	50	45506000
8	20	44560000
8	20	44560000
8	20	44560000
8	20	44560000
8	20	44560000
8	10	43400000
8	10	43400000
8	10	43400000
8	10	43400000
8	10	43400000
10	1000	48828000
10	1000	48828000
10	1000	48828000
10	1000	48828000
10	1000	48828000
10	800	48858000
10	800	48858000
10	800	48858000
10	800	48858000
10	800	48858000
10	600	48306000
10	600	48306000
10	600	48306000
10	600	48306000
10	600	48306000
10	400	47154000
10	400	47154000
10	400	47154000
10	400	47154000
10	400	47154000
10	200	44562000
10	200	44562000
10	200	44562000
10	200	44562000
10	200	44562000
10	100	43122000
10	100	43122000
10	100	43122000
10	100	43122000
10	100	43122000
10	50	41506000
10	50	41506000
10	50	41506000
10	50	41506000
10	50	41506000
10	20	39974000
10	20	39974000
10	20	39974000
10	20	39974000
10	20	39974000
10	10	38004000
10	10	38004000
10	10	38004000
10	10	38004000
10	10	38004000
12	1000	48080000
12	1000	48080000
12	1000	48080000
12	1000	48080000
12	1000	48080000
12	800	48916000
12	800	48916000
12	800	48916000
12	800	48916000
12	800	48916000
12	600	47752000
12	600	47752000
12	600	47752000
12	600	47752000
12	600	47752000
12	400	47394000
12	400	47394000
12	400	47394000
12	400	47394000
12	400	47394000
12	200	43380000
12	200	43380000
12	200	43380000
12	200	43380000
12	200	43380000
12	100	41346000
12	100	41346000
12	100	41346000
12	100	41346000
12	100	41346000
12	50	39856000
12	50	39856000
12	50	39856000
12	50	39856000
12	50	39856000
12	20	36476000
12	20	36476000
12	20	36476000
12	20	36476000
12	20	36476000
12	10	33638000
12	10	33638000
12	10	33638000
12	10	33638000
12	10	33638000
14	1000	47158000
14	1000	47158000
14	1000	47158000
14	1000	47158000
14	1000	47158000
14	800	47896000
14	800	47896000
14	800	47896000
14	800	47896000
14	800	47896000
14	600	46580000
14	600	46580000
14	600	46580000
14	600	46580000
14	600	46580000
14	400	46328000
14	400	46328000
14	400	46328000
14	400	46328000
14	400	46328000
14	200	42818000
14	200	42818000
14	200	42818000
14	200	42818000
14	200	42818000
14	100	40326000
14	100	40326000
14	100	40326000
14	100	40326000
14	100	40326000
14	50	36856000
14	50	36856000
14	50	36856000
14	50	36856000
14	50	36856000
14	20	32168000
14	20	32168000
14	20	32168000
14	20	32168000
14	20	32168000
14	10	28282000
14	10	28282000
14	10	28282000
14	10	28282000
14	10	28282000
4	1000	46834000
4	1000	46834000
4	1000	46834000
4	1000	46834000
4	1000	46834000
4	800	46834000
4	800	46834000
4	800	46834000
4	800	46834000
4	800	46834000
4	600	46834000
4	600	46834000
4	600	46834000
4	600	46834000
4	600	46834000
4	400	46834000
4	400	46834000
4	400	46834000
4	400	46834000
4	400	46834000
4	200	46676000
4	200	46676000
4	200	46676000
4	200	46676000
4	200	46676000
4	100	46676000
4	100	46676000
4	100	46676000
4	100	46676000
4	100	46676000
4	50	46904000
4	50	46904000
4	50	46904000
4	50	46904000
4	50	46904000
4	20	46904000
4	20	46904000
4	20	46904000
4	20	46904000
4	20	46904000
4	10	46904000
4	10	46904000
4	10	46904000
4	10	46904000
4	10	46904000
6	1000	48660000
6	1000	48660000
6	1000	48660000
6	1000	48660000
6	1000	48660000
6	800	48660000
6	800	48660000
6	800	48660000
6	800	48660000
6	800	48660000
6	600	48808000
6	600	48808000
6	600	48808000
6	600	48808000
6	600	48808000
6	400	48580000
6	400	48580000
6	400	48580000
6	400	48580000
6	400	48580000
6	200	47992000
6	200	47992000
6	200	47992000
6	200	47992000
6	200	47992000
6	100	48132000
6	100	48132000
6	100	48132000
6	100	48132000
6	100	48132000
6	50	47938000
6	50	47938000
6	50	47938000
6	50	47938000
6	50	47938000
6	20	47640000
6	20	47640000
6	20	47640000
6	20	47640000
6	20	47640000
6	10	47564000
6	10	47564000
6	10	47564000
6	10	47564000
6	10	47564000
8	1000	48376000
8	1000	48376000
8	1000	48376000
8	1000	48376000
8	1000	48376000
8	800	48382000
8	800	48382000
8	800	48382000
8	800	48382000
8	800	48382000
8	600	48110000
8	600	48110000
8	600	48110000
8	600	48110000
8	600	48110000
8	400	47898000
8	400	47898000
8	400	47898000
8	400	47898000
8	400	47898000
8	200	46622000
8	200	46622000
8	200	46622000
8	200	46622000
8	200	46622000
8	100	46216000
8	100	46216000
8	100	46216000
8	100	46216000
8	100	46216000
8	50	45506000
8	50	45506000
8	50	45506000
8	50	45506000
8	50	45506000
8	20	44560000
8	20	44560000
8	20	44560000
8	20	44560000
8	20	44560000
8	10	43400000
8	10	43400000
8	10	43400000
8	10	43400000
8	10	43400000
10	1000	48828000
10	1000	48828000
10	1000	48828000
10	1000	48828000
10	1000	48828000
10	800	48858000
10	800	48858000
10	800	48858000
10	800	48858000
10	800	48858000
10	600	48306000
10	600	48306000
10	600	48306000
10	600	48306000
10	600	48306000
10	400	47154000
10	400	47154000
10	400	47154000
10	400	47154000
10	400	47154000
10	200	44562000
10	200	44562000
10	200	44562000
10	200	44562000
10	200	44562000
10	100	43122000
10	100	43122000
10	100	43122000
10	100	43122000
10	100	43122000
10	50	41506000
10	50	41506000
10	50	41506000
10	50	41506000
10	50	41506000
10	20	39974000
10	20	39974000
10	20	39974000
10	20	39974000
10	20	39974000
10	10	38004000
10	10	38004000
10	10	38004000
10	10	38004000
10	10	38004000
12	1000	48080000
12	1000	48080000
12	1000	48080000
12	1000	48080000
12	1000	48080000
12	800	48916000
12	800	48916000
12	800	48916000
12	800	48916000
12	800	48916000
12	600	47752000
12	600	47752000
12	600	47752000
12	600	47752000
12	600	47752000
12	400	47394000
12	400	47394000
12	400	47394000
12	400	47394000
12	400	47394000
12	200	43380000
12	200	43380000
12	200	43380000
12	200	43380000
12	200	43380000
12	100	41346000
12	100	41346000
12	100	41346000
12	100	41346000
12	100	41346000
12	50	39856000
12	50	39856000
12	50	39856000
12	50	39856000
12	50	39856000
12	20	36476000
12	20	36476000
12	20	36476000
12	20	36476000
12	20	36476000
12	10	33638000
12	10	33638000
12	10	33638000
12	10	33638000
12	10	33638000
14	1000	47158000
14	1000	47158000
14	1000	47158000
14	1000	47158000
14	1000	47158000
14	800	47896000
14	800	47896000
14	800	47896000
14	800	47896000
14	800	47896000
14	600	46580000
14	600	46580000
14	600	46580000
14	600	46580000
14	600	46580000
14	400	46328000
14	400	46328000
14	400	46328000
14	400	46328000
14	400	46328000
14	200	42818000
14	200	42818000
14	200	42818000
14	200	42818000
14	200	42818000
14	100	40326000
14	100	40326000
14	100	40326000
14	100	40326000
14	100	40326000
14	50	36856000
14	50	36856000
14	50	36856000
14	50	36856000
14	50	36856000
14	20	32168000
14	20	32168000
14	20	32168000
14	20	32168000
14	20	32168000
14	10	28282000
14	10	28282000
14	10	28282000
14	10	28282000
14	10	28282000
